# Generation 1: F, G, CV
1.088375832823659968e-02 9.369861340453478071e-03 -2.943059673867613746e-02 -6.044434309005737305e-01 9.369861340453478071e-03
1.214447444185609917e-02 2.335203886583248067e-02 -2.871635768732853922e-02 -6.074337959289550781e-01 2.335203886583248067e-02
1.094453674657180041e-02 6.591591042594679983e-02 -2.652788944076736599e-02 -6.110866069793701172e-01 6.591591042594679983e-02
1.506498865862830085e-02 1.267399259881940576e-02 -2.891477648112693311e-02 -6.283516883850097656e-01 1.267399259881940576e-02
1.925579931177020046e-02 -1.282633021107542071e-01 -2.351436600712404623e-02 -6.246917247772216797e-01 0.000000000000000000e+00
1.118778962102759920e-02 6.979584669220062487e-02 -3.038991141729253942e-02 -5.934581756591796875e-01 6.979584669220062487e-02
1.490897682989049920e-02 9.253061354021530072e-02 -2.442568010788591371e-02 -6.137079000473022461e-01 9.253061354021530072e-02
1.471253121548119977e-02 1.119218929428945075e-01 -2.383691520584108048e-02 -6.156408786773681641e-01 1.119218929428945075e-01
2.174591064500540002e-02 2.536163122623802391e-02 -2.341099303829781431e-02 -6.108369827270507812e-01 2.536163122623802391e-02
1.599360193973500127e-02 6.128217929184182067e-02 -2.607171843965268299e-02 -6.057295799255371094e-01 6.128217929184182067e-02
1.467475397204059950e-02 -3.263620425496283062e-02 -3.063361375372249118e-02 -6.159865856170654297e-01 0.000000000000000000e+00
1.126918556448719931e-02 -2.383981878459219272e-01 -2.124690411987829874e-02 -6.121282577514648438e-01 0.000000000000000000e+00
1.075268061623899964e-02 1.235618262425669522e-02 -3.027290831904173862e-02 -6.121598482131958008e-01 1.235618262425669522e-02
1.582916956643750164e-02 -1.584497217399615243e-01 -2.408917787536982158e-02 -6.159877777099609375e-01 0.000000000000000000e+00
1.139585515756440064e-02 1.264069792587668717e-02 -2.807796985594797345e-02 -6.060121059417724609e-01 1.264069792587668717e-02
1.188138194858549997e-02 6.273863074108232407e-02 -1.843002126367192239e-02 -6.029614210128784180e-01 6.273863074108232407e-02
2.359619533216819956e-02 8.903738970998859026e-02 -2.769441377880925426e-02 -6.253614425659179688e-01 8.903738970998859026e-02
1.328028580195639990e-02 -2.708439555451638281e-01 -2.365184772176431860e-02 -6.202783584594726562e-01 0.000000000000000000e+00
1.122487265123879932e-02 -7.466023151623146781e-02 -2.678680254011280015e-02 -6.232511997222900391e-01 0.000000000000000000e+00
1.499922472864700061e-02 7.327923299727429063e-02 -2.212446237463250309e-02 -6.046900749206542969e-01 7.327923299727429063e-02
2.466871456078910049e-02 1.465396104195992866e-03 -2.363977432731952100e-02 -6.267496347427368164e-01 1.465396104195992866e-03
1.814856028262280124e-02 1.045354276689796080e-01 -2.662234848617318905e-02 -6.120151281356811523e-01 1.045354276689796080e-01
1.604508012363929995e-02 -1.384632567630895705e-01 -2.347912190562284618e-02 -6.259741783142089844e-01 0.000000000000000000e+00
1.680833296803519936e-02 -2.745009235051392160e-01 -2.530255287473147374e-02 -6.158173084259033203e-01 0.000000000000000000e+00
1.018963276282669993e-02 1.128563427524931218e-02 -2.797290392560776440e-02 -6.176810264587402344e-01 1.128563427524931218e-02
1.122678152741360055e-02 -2.209567988559173468e-01 -2.102529534592352534e-02 -6.064101457595825195e-01 0.000000000000000000e+00
1.962149300919599840e-02 4.473438042626137756e-02 -2.816437071706394402e-02 -6.142822504043579102e-01 4.473438042626137756e-02
1.061796630772290050e-02 5.353748670904989737e-03 -2.861927145057967248e-02 -6.033912897109985352e-01 5.353748670904989737e-03
1.124480541851300038e-02 -3.998242870283785777e-02 -2.942217484463573174e-02 -6.066042184829711914e-01 0.000000000000000000e+00
1.121104323001670053e-02 2.942543135950209665e-02 -2.973426907629039828e-02 -6.154448986053466797e-01 2.942543135950209665e-02
1.356884659066879932e-02 1.256507282212859788e-02 -2.706676713066766271e-02 -6.032010316848754883e-01 1.256507282212859788e-02
1.304066674802410036e-02 9.095646609348051470e-02 -2.353488110139338729e-02 -6.115120649337768555e-01 9.095646609348051470e-02
1.286529821703080029e-02 -1.583226605045070512e-01 -2.517644277257008456e-02 -6.093387603759765625e-01 0.000000000000000000e+00
2.577392634452100109e-02 -2.631975293037924768e-02 -2.353668788813945145e-02 -6.080259084701538086e-01 0.000000000000000000e+00
1.706335858594459909e-02 -2.667495930775295454e-01 -2.626385825338302393e-02 -6.116138696670532227e-01 0.000000000000000000e+00
1.337678612137190026e-02 9.871521344192829561e-02 -2.375573937079210329e-02 -6.108700037002563477e-01 9.871521344192829561e-02
1.585931520443379858e-02 -2.454411996770210491e-01 -2.729778621603588806e-02 -6.187212467193603516e-01 0.000000000000000000e+00
